pr,"	Year", Month, Country
140.759,1991,1,GUY
89.155,1991,2,GUY
103.458,1991,3,GUY
214.61,1991,4,GUY
290.415,1991,5,GUY
381.216,1991,6,GUY
347.67,1991,7,GUY
285.473,1991,8,GUY
127.39,1991,9,GUY
84.1653,1991,10,GUY
42.9826,1991,11,GUY
126.57,1991,12,GUY
98.0073,1992,1,GUY
111.414,1992,2,GUY
95.6773,1992,3,GUY
180.176,1992,4,GUY
256.509,1992,5,GUY
201.86,1992,6,GUY
234.532,1992,7,GUY
176.943,1992,8,GUY
75.353,1992,9,GUY
37.5346,1992,10,GUY
60.3218,1992,11,GUY
137.177,1992,12,GUY
210.839,1993,1,GUY
164.523,1993,2,GUY
249.651,1993,3,GUY
98.6485,1993,4,GUY
380.422,1993,5,GUY
417.078,1993,6,GUY
262.312,1993,7,GUY
179.682,1993,8,GUY
107.673,1993,9,GUY
120.811,1993,10,GUY
276.971,1993,11,GUY
143.49,1993,12,GUY
127.492,1994,1,GUY
116.747,1994,2,GUY
240.97,1994,3,GUY
148.245,1994,4,GUY
297.906,1994,5,GUY
374.743,1994,6,GUY
306.209,1994,7,GUY
215.754,1994,8,GUY
122.169,1994,9,GUY
138.121,1994,10,GUY
128.465,1994,11,GUY
94.7375,1994,12,GUY
51.1762,1995,1,GUY
50.2956,1995,2,GUY
208.538,1995,3,GUY
114.024,1995,4,GUY
238.028,1995,5,GUY
498.846,1995,6,GUY
457.054,1995,7,GUY
240.405,1995,8,GUY
63.1031,1995,9,GUY
80.6038,1995,10,GUY
178.511,1995,11,GUY
197.374,1995,12,GUY
285.114,1996,1,GUY
235.342,1996,2,GUY
110.93,1996,3,GUY
110.886,1996,4,GUY
407.285,1996,5,GUY
491.076,1996,6,GUY
395.055,1996,7,GUY
176.073,1996,8,GUY
106.238,1996,9,GUY
45.93,1996,10,GUY
102.257,1996,11,GUY
86.3689,1996,12,GUY
360.17,1997,1,GUY
277.561,1997,2,GUY
129.795,1997,3,GUY
134.178,1997,4,GUY
350.828,1997,5,GUY
237.693,1997,6,GUY
250.545,1997,7,GUY
123.125,1997,8,GUY
74.2441,1997,9,GUY
28.2292,1997,10,GUY
64.5802,1997,11,GUY
119.305,1997,12,GUY
54.37,1998,1,GUY
36.8998,1998,2,GUY
28.4406,1998,3,GUY
248.068,1998,4,GUY
450.027,1998,5,GUY
449.468,1998,6,GUY
241.346,1998,7,GUY
259.612,1998,8,GUY
115.818,1998,9,GUY
131.768,1998,10,GUY
161.59,1998,11,GUY
306.506,1998,12,GUY
225.499,1999,1,GUY
163.04,1999,2,GUY
125.542,1999,3,GUY
280.782,1999,4,GUY
245.19,1999,5,GUY
363.841,1999,6,GUY
273.391,1999,7,GUY
349.273,1999,8,GUY
168.243,1999,9,GUY
146.279,1999,10,GUY
